(METAR weather station sites operated by the U.S. Department of Defense)
KAAA – Logan County Airport – Lincoln, Illinois
KPKB – Mid-Ohio Valley Regional Airport – Parkersburg, West Virginia
KPKV – Calhoun County Airport – Port Lavaca, Texas
KPLK – M. Graham Clark Downtown Airport – Point Lookout, Missouri
KPLR – St. Clair County Airport – Pell City, Alabama
KPLU – Pierce County Airport-Thun Field – Graham, Washington
KPMB – Pembina Municipal Airport – Pembina, North Dakota
KPMD – Palmdale Regional Airport – Palmdale, California
KPMV – Plattsmouth Municipal Airport – Plattsmouth, Nebraska
KPMZ – Plymouth Municipal Airport – Plymouth, North Carolina
KPNA – Ralph Wenz Field – Pinedale, Wyoming
KPNC – Ponca City Regional Airport – Ponca City, Oklahoma
KPNE – Northeast Philadelphia Airport – Philadelphia, Pennsylvania
KPNM – Princeton Municipal Airport – Princeton, Minnesota
KPNN – Princeton Municipal Airport – Princeton, Maine
KPNS – Pensacola Regional Airport – Pensacola, Florida
KPOB – Pope Airforce Base – Fayetteville, North Carolina
KPOC – Brackett Airport – La Verne, California
KPOU – Dutchess County Airport – Poughkeepsie, New York
KPOY – Powell Municipal Airport – Powell, Wyoming
KPPF – Tri-City Airport – Parsons, Kansas
KPQI – Northern Maine Regional At Presque Airport – Presque Isle, Maine
KPQL – Trent Lott International Airport – Pascagoula, Mississippi
KPRB – Paso Robles Municipal Airport – Paso Robles, California
KPRC – Prescott Municipal Airport (Ernest A. Love Field) – Prescott, Arizona
KPRN – Mac Crenshaw Memorial Airport – Greenville, Alabama
KPRX – Cox Field – Paris, Texas
KPSB – Mid-State Airport – Philipsburg, Pennsylvania
KPSC – Tri-Cities Airport – Pasco, Washington
KPSF – Pittsfield Municipal Airport – Pittsfield, Massachusetts
KPSK – New River Valley Airport – Dublin, Virginia
KPSM – Portsmouth International Airport at Pease – Portsmouth, New Hampshire
KPSO – Stevens Field – Pagosa Springs, Colorado
KPSP – Palm Springs International Airport – Palm Springs, California
KPTB – Dinwiddie County Airport – Petersburg, Virginia
KPTD – Potsdam Municipal Airport – Potsdam, New York
KPTN – Harry P. Williams Memorial Airport – Patterson, Louisiana
KPTS – Atkinson Municipal Airport – Pittsburg, Kansas
KPTT – Pratt Industrial Airport – Pratt, Kansas
KPTV – Porterville Municipal Airport – Porterville, California
KPTW – Pottstown Limerick Airport – Pottstown, Pennsylvania
KPUB – Pueblo Memorial Airport – Pueblo, Colorado
KPUC – Carbon County Airport – Price, Utah
KPUJ – Paulding County Regional Airport – Dallas, Georgia
KPUW – Pullman-Moscow Regional Airport – Pullman, Washington
KPVB – Platteville Municipal Airport – Platteville, Wisconsin
KPVC – Provincetown Municipal Airport – Provincetown, Massachusetts
KPVD – T.F. Green State Airport – Providence, Rhode Island
KPVE – Beech River Regional Airport – Darden, Tennessee
KPVF – Placerville Airport – Placerville, California
KPVG – Hampton Roads Executive Airport – Norfolk, Virginia
KPVJ – Pauls Valley Municipal Airport – Pauls Valley, Oklahoma
KPVU – Provo Municipal Airport – Provo, Utah
KPVW – Hale County Airport – Plainview, Texas
KPWA – Wiley Post Airport – Oklahoma City, Oklahoma
KPWD – Sher-Wood Airport – Plentywood, Montana
KPWK – Chicago Executive Airport (formerly PalWaukee) – Wheeling, Illinois
KPWM – Portland International Jetport – Portland, Maine
KPWT – Bremerton National Airport – Bremerton, Washington
KPXE – Perry-Houston County Airport – Perry, Georgia
KPYG – Pageland Airport – Pageland, South Carolina
KPYM – Plymouth Municipal Airport – Plymouth, Massachusetts
KPYP – Centre-Piedmont-Cherokee County Regional Airport – Centre, Alabama
KPYX – Perryton-Ochiltree County Airport – Perryton, Texas
KQA7 – Tarin Kowt, Afghanistan
KQAD – FOB Echo, Al Diwaniyah, Iraq
KQAE – al Musayyib FOB, Iraq
KQAJ – Al Asad AB, Iraq
KQAQ – Camp Taji, Iraq
KQAX – Camp Victory (BIAP), Iraq
KQAY – Patton AAF, Camp Arifjan, Kuwait
KQCO – FOB Q-West (Al-Qayyarah), Iraq
KQCT – Ar Ramadi, Iraq
KQCU – Fort Chaffee, Arkansas
KQD9 – FOB Salerno, Khost, Afghanistan
KQDM – Orgun, Afghanistan
KQEZ – Al Taqaddum AB, Iraq
KQGV – Ali Al Salem AB, Kuwait
KQGX – Al Dhafra AB, United Arab Emirates
KQIR – Al Udeid AB, Qatar
KQIU – Fire Base Lilley, Shkin, Afghanistan
KQL5 – Jalalabad, Afghanistan
KQMA – Camp Fallujah, Iraq
KQMG – Mudaysis, Iraq
KQMH – Camp Korean Village (KV) (Ar Rutbah), Iraq
KQNC – Souda Bay AB, Greece
KQNN – Naples, Italy
KQNS – NAS Sigonella, Italy
KQNT – NAS Keflavik, Iceland
KQNY – Camp Ramadi, Iraq
KQOS – Oscura Range, New Mexico
KQPC – Camp Gannon (Husaybah), Iraq
KQPD – COP Haditha, Iraq
KQRY – Ghazni, Afghanistan
KQSA – Bagram AB, Afghanistan
KQSE – Mosul North, Iraq
KQSL – COB Speicher (Al Sahra Airfield), Iraq
KQSM – Misawa AB, Japan
KQSR – Sharan, Afghanistan
KQTA – NAF Atsugi, Japan
KQTI – Tal Afar, Iraq
KQTO – Joint Base Balad/LSA Anaconda, Iraq
KQTU – FOB Marez (Mosul), Iraq
KQTX – Kirkuk AB, Iraq
KQTZ – Baghdad International Airport, Iraq
KQVO – Al-Qa'im, Iraq
KQWM – Camp Buehring, Kuwait
KQXJ – Ali Air Base (Nasiriyah), Iraq
KQXN – Najaf, Iraq
KQYB – Faurei, Romania
KRAC – Batten International Airport – Racine, Wisconsin
KRAL – Riverside Municipal Airport – Riverside, California
KRAP – Rapid City Regional Airport – Rapid City, South Dakota
KRAW – Warsaw Municipal Airport – Warsaw, Missouri
KRBD – Dallas Executive Airport – Dallas, Texas
KRBE – Rock County Airport – Bassett, Nebraska
KRBG – Roseburg Regional Airport – Roseburg, Oregon
KRBL – Red Bluff Municipal Airport – Red Bluff, California
KRBM – Robinson Army Airfield – Camp Robinson, Arkansas
KRBW – Lowcountry Regional Airport – Walterboro, South Carolina
KRCA – Ellsworth Air Force Base – Rapid City, South Dakota
KRCE – Clarence E. Page Municipal Airport – Oklahoma City, Oklahoma
KRCM – SkyHaven Airport – Warrensburg, Missouri
KRCT – Nartron Field – Reed City, Michigan
KRDD – Redding Municipal Airport – Redding, California
KRDG – Reading Regional Airport – Reading, Pennsylvania
KRDM – Roberts Field (Redmond Municipal Airport) – Redmond, Oregon
KRDR – Grand Forks Air Force Base – Grand Forks, North Dakota
KRDU – Raleigh-Durham International Airport – Raleigh, North Carolina
KRED – Red Lodge Airport – Red Lodge, Montana
KREI – Redlands Municipal Airport – Redlands, California
KREO – Rome State Airport – Rome, Oregon
KRGK – Red Wing Regional Airport – Red Wing, Minnesota
KRHP – Andrews-Murphy Airport – Andrews, North Carolina
KRHV – Reid-Hillview Airport – San Jose, California
KRIC – Richmond International Airport – Sandston, Virginia
KRID – Richmond Municipal Airport – Richmond, Indiana
KRIF – Richfield Municipal Airport – Richfield, Utah
KRIL – Garfield County Regional Airport – Rifle, Colorado
KRIR – Flabob Airport – Riverside, California
KRIU – Rancho Murieta Airport – Rancho Murieta, California
KRIV – March Air Reserve Base – Riverside, California
KRIW – Riverton Regional Airport – Riverton, Wyoming
KRJD – Ridgely Airpark – Ridgely, Maryland
KRKD – Knox County Regional Airport – Rockland, Maine
KRKR – Robert S. Kerr Airport – Poteau, Oklahoma
KRKS – Rock Springs – Sweetwater County Airport – Rock Springs, Wyoming
KRLD – Richland Airport – Richland, Washington
KRME – Griffiss Airport – Rome, New York
KRMN – Stafford Regional Airport – Stafford, Virginia
KRND – Randolph Air Force Base – San Antonio, Texas
KRNM – Ramona Airport – Ramona, California
KRNO – Reno-Tahoe International Airport – Reno, Nevada
KRNT – Renton Municipal Airport – Renton, Washington
KRNV – Cleveland Municipal Airport – Cleveland, Mississippi
KROA – Roanoke Regional Airport/Woodrum Field – Roanoke, Virginia
KROC – Greater Rochester International Airport – Rochester, New York
KROG – Rogers Municipal Airport Carter Field – Rogers, Arkansas
KROW – Roswell International Air Center Airport – Roswell, New Mexico
KRPB – Belleville Municipal Airport – Belleville, Kansas
KRPD – Rice Lake Regional Airport (aka Carl's Field) – Rice Lake, Wisconsin
KRPH – Graham Municipal Airport – Graham, Texas
KRPX – Roundup Airport – Roundup, Montana
KRQE – Window Rock Airport – Window Rock, Arizona
KRRT – Warroad International Airport (Swede Carlson Field) – Warroad, Minnesota
KRSL – Russell Municipal Airport – Russell, Kansas
KRST – Rochester International Airport – Rochester, Minnesota
KRSW – Southwest Florida International Airport – South Fort Myers, Florida
KRTN – Raton Municipal Airport/Crews Field – Raton, New Mexico
KRTS – Reno Stead Airport – Reno, Nevada
KRUE – Russellville Regional Airport – Russellville, Arkansas
KRUG – Rugby Municipal Airport – Rugby, North Dakota
KRUQ – Rowan County Airport – Salisbury, North Carolina
KRUT – Rutland State Airport – Rutland, Vermont
KRVL – Mifflin County Airport – Reedsville, Pennsylvania
KRVS – Richard Lloyd Jones Jr. Airport – Tulsa County, Oklahoma
KRWI – Rocky Mount Regional Airport – Rocky Mount, North Carolina
KRWL – Rawlins Municipal Airport – Rawlins, Wyoming
KRWV – Caldwell Municipal Airport – Caldwell, Texas
KRXE – Rexburg-Madison County Airport – Rexburg, Idaho
KRYN – Ryan Field – Tucson, Arizona
KRYV – Watertown Municipal Airport – Watertown, Wisconsin
KRYW – Rusty Allen Airport – Lago Vista, Texas
KRYY – Cobb County McCollum Field – Kennesaw, Georgia
KRZL – Jasper County Airport – Rensselaer, Indiana
KRZN – Burnett County Airport – Siren, Wisconsin
KRZT – Ross County Regional Airport – Chillicothe, Ohio
KRZZ – Halifax County Airport – Roanoke Rapids, North Carolina
KSAA – Shively Airport – Saratoga, Wyoming
KSAC – Sacramento Executive Airport – Sacramento, California
KSAD – Safford Regional Airport – Safford, Arizona
KSAF – Santa Fe Municipal Airport – Santa Fe, New Mexico
KSAN – San Diego International Airport (Lindbergh Field) – San Diego, California
KSAS – Salton Sea Airport – Salton City, California
KSAT – San Antonio International Airport – San Antonio, Texas
KSAV – Savannah/Hilton Head International Airport – Savannah, Georgia
KSAW – Sawyer International Airport – Marquette, Michigan
KSAZ – Staples Municipal Airport – Staples, Minnesota
KSBA – Santa Barbara Municipal Airport – Santa Barbara, California
KSBD – San Bernardino International Airport – San Bernardino, California
KSBM – Sheboygan County Memorial Airport – Sheboygan, Wisconsin
KSBN – South Bend Airport – South Bend, Indiana
KSBP – San Luis Obispo County Regional Airport – San Luis Obispo, California
KSBS – Steamboat Springs Airport (Bob Adams Field) – Steamboat Springs, Colorado
KSBX – Shelby Airport – Shelby, Montana
KSBY – Wicomico Regional Airport – Salisbury, Maryland
KSCB – Scribner State Airport – Scribner, Nebraska
KSCD – Sylacauga Municipal Airport (Merkel Field) – Sylacauga, Alabama
KSCH – Schenectady County Airport – Schenectady, New York
KSCK – Stockton Metro Airport – Stockton, California
KSCR – Siler City Municipal Airport -[1] Siler City, North Carolina
KSDC – Williamson-Sodus Airport – Williamson/Sodus, New York
KSDF – Louisville International Airport – Louisville, Kentucky
KSDL – Scottsdale Municipal Airport – Scottsdale, Arizona
KSDM – Brown Municipal Airport – San Diego, California
KSDY – Sidney-Richland Municipal Airport – Sidney, Montana
KSEA – Seattle-Tacoma International Airport – Seattle, Washington
KSEE – Gillespie Airport – San Diego, California
KSEF – Sebring Regional Airport – Sebring, Florida
KSEG – Penn Valley Airport – Selinsgrove, Pennsylvania
KSEM – Craig Field – Selma, Alabama
KSEP – Stephenville Clark Regional Airport – Stephenville, Texas
KSEZ – Sedona Airport – Sedona, Arizona
KSFB – Orlando Sanford International Airport – Sanford, Florida
KSFD – Wiley Airport – Winner, South Dakota
KSFF – Felts Field – Spokane, Washington
KSFM – Sanford Regional Airport – Sanford, Maine
KSFO – San Francisco International Airport – San Mateo County, California
KSFQ – Suffolk Executive Airport – Suffolk, Virginia
KSFZ – North Central State Airport – Pawtucket, Rhode Island
KSGF – Springfield-Branson National Airport – Springfield, Missouri
KSGJ – St. Augustine Airport – St. Augustine, Florida
KSGT – Stuttgart Municipal Airport – Stuttgart, Arkansas
KSGU – St. George Municipal Airport – St. George, Utah
KSHD – Shenandoah Valley Regional Airport – Staunton, Virginia
KSHN – Sanderson Airport – Shelton, Washington
KSHR – Sheridan County Airport – Sheridan, Wyoming
KSHV – Shreveport Regional Airport – Shreveport, Louisiana
KSIF – Rockingham County Airport – Stoneville, North Carolina
KSIK – Sikeston Memorial Municipal Airport – Sikeston, Missouri
KSIY – Siskiyou County Airport – Montague, California
KSJC – Norman Y. Mineta San José International Airport – San Jose, California
KSJN – St. Johns Industrial Air Park – St. Johns, Arizona
KSJT – Mathis Field – San Angelo, Texas
KSKA – Fairchild Air Force Base – Spokane, Washington
KSKF – Kelly Field Annex (formerly Kelly Air Force Base) – San Antonio, Texas
KSKI – Sac City Municipal Airport – Sac City, Iowa
KSKX – Taos Regional Airport – Taos, New Mexico
KSLB – Storm Lake Municipal Airport – Storm Lake, Iowa
KSLC – Salt Lake City International Airport – Salt Lake City, Utah
KSLE – McNary Field – Salem, Oregon
KSLG – Smith Field – Siloam Springs, Arkansas
KSLI – Los Alamitos Army Airfield – Los Alamitos, California
KSLK – Adirondack Regional Airport – Saranac Lake, New York
KSLN – Salina Municipal Airport – Salina, Kansas
KSLR – Sulphur Springs Municipal Airport – Sulphur Springs, Texas
KSMD – Smith Field – Fort Wayne, Indiana
KSME – Lake Cumberland Regional Airport – Somerset, Kentucky
KSMF – Sacramento International Airport – Sacramento, California
KSMN – Lemhi County Airport – Salmon, Idaho
KSMO – Santa Monica Airport – Santa Monica, California
KSMQ – Somerset Airport – Somerville, New Jersey
KSMS – Sumter Airport – Sumter, South Carolina
KSMX – Santa Maria Public Airport (Capt. G. Allan Hancock Field) – Santa Maria, California
KSNA – John Wayne-Orange County Airport – Santa Ana, California
KSNC – Chester Airport – Chester, Connecticut
KSNK – Winston Field Airport – Snyder, Texas
KSNL – Shawnee Regional Airport – Shawnee, Oklahoma
KSNS – Salinas Airport – Salinas, California
KSNT – Stanley Airport – Stanley, Idaho
KSNY – Sidney Municipal Airport – Sidney, Nebraska
KSOA – Sonora Municipal – Sonora, Texas
KSOP – Moore County Airport – Southern Pines, North Carolina
KSOW – Show Low Regional Airport – Show Low, Arizona
KSPA – Spartanburg Downtown Memorial Airport – Spartanburg, South Carolina
KSPB – Scappoose Industrial Airpark – Scappoose, Oregon
KSPD – Springfield Municipal Airport – Springfield, Colorado
KSPF – Black Hills Airport (Clyde Ice Field) – Spearfish, South Dakota
KSPG – Albert Whitted Airport – St. Petersburg, Florida
KSPS – Wichita Falls Municipal Airport / Sheppard AFB – Wichita Falls, Texas
KSPW – Spencer Municipal Airport – Spencer, Iowa
KSQL – San Carlos Airport – San Carlos, California
KSRC – Searcy Municipal Airport – Searcy, Arkansas
KSRQ – Sarasota-Bradenton International Airport – Sarasota, Florida
KSRR – Sierra Blanca Regional Airport – Ruidoso, New Mexico
KSSC – Shaw AFB – Sumter, South Carolina
KSSF – Stinson Municipal Airport – San Antonio, Texas
KSSN – Seneca Army Airfield – Romulus, New York
KSSQ – Shell Lake Municipal Airport – Shell Lake, Wisconsin
KSTC – St. Cloud Regional Airport – St. Cloud, Minnesota
KSTF – George M. Bryan Airport – Starkville, Mississippi
KSTK – Sterling Municipal Airport – Sterling, Colorado
KSTL – Lambert Saint Louis International Airport – St. Louis, Missouri
KSTP – St. Paul Downtown Airport – St. Paul, Minnesota
KSTS – Sonoma County Airport – Santa Rosa, California
KSUA – Witham Field – Stuart, Florida
KSUN – Friedman Memorial Airport – Hailey, Idaho
KSUS – Spirit of St. Louis Airport – St. Louis, Missouri
KSUT – Brunswick County Airport – Oak Island, North Carolina
KSUU – Travis Air Force Base – Fairfield, California
KSUW – Richard I. Bong Airport – Superior, Wisconsin
KSUX – Sioux Gateway Airport – Sioux City, Iowa
KSUZ – Saline County Regional Airport – Benton, Arkansas
KSVC – Grant County Airport – Silver City, New Mexico
KSVE – Susanville Airport – Susanville, California
KSVH – Statesville Regional Airport – Statesville, North Carolina
KSWF – Stewart International Airport – Newburgh, New York
KSWI – Sherman Municipal Airport – Sherman, Texas
KSWO – Stillwater Regional Airport – Stillwater, Oklahoma
KSWT – Seward Municipal Airport – Seward, Nebraska
KSWW – Avenger Field – Sweetwater, Texas
KSXL – Summersville Airport – Summersville, West Virginia
KSXT – Grants Pass – Grants Pass, Oregon
KSXU – Santa Rosa Route 66 Airport – Santa Rosa, New Mexico
KSYF – Cheyenne County Municipal Airport – St. Francis, Kansas
KSYI – Shelbyville Municipal Airport – Shelbyville, Tennessee
KSYL – Roberts Army Heliport – Camp Roberts, San Luis Obispo County, California
KSYN – Stanton Airfield – Stanton, Minnesota
KSYR – Syracuse Hancock International Airport – Syracuse, New York
KSZL – Whiteman Air Force Base (Whiteman AFB) – Johnson County, Missouri
KSZP – Santa Paula Airport – Santa Paula, California
KSZT – Sandpoint Airport – Sandpoint, Idaho
KTAD – Perry Stokes Airport – Trinidad, Colorado
KTAN – Taunton Municipal Airport – Taunton, Massachusetts
KTBX – Shoshoni Municipal Airport – Shoshoni, Wyoming
KTCC – Tucumcari Municipal Airport – Tucumcari, New Mexico
KTCL – Tuscaloosa Regional Airport – Tuscaloosa, Alabama
KTCM – McChord Air Force Base – Tacoma, Washington
KTCS – Truth or Consequences Municipal Airport – Truth or Consequences, New Mexico
KTCY – Tracy Municipal Airport – Tracy, California
KTDF – Person County Airport – Roxboro, North Carolina
KTDO – Toledo-Winston Carlock Memorial Airport – Toledo, Washington
KTEB – Teterboro Airport – Teterboro, New Jersey
KTEL – Perry County Municipal Airport – Tell City, Indiana
KTEX – Telluride Regional Airport – Telluride, Colorado
KTGI – Tangier Island Airport – Tangier, Virginia
KTHM – Thompson Falls Airport – Thompson Falls, Montana
KTHP – Hot Springs County Municipal Airport – Thermopolis, Wyoming
KTHV – York Airport – York, Pennsylvania
KTIK – Tinker Air Force Base – Oklahoma City, Oklahoma
KTIW – Tacoma Narrows Airport – Tacoma, Washington
KTIX – Space Coast Regional Airport – Titusville, Florida
KTKI – Collin County Regional Airport at McKinney – McKinney, Texas
KTKO – Mankato Airport – Mankato, Kansas
KTLH – Tallahassee Regional Airport – Tallahassee, Florida
KTLR – Mefford Airport – Tulare, California
KTMB – Kendall-Tamiami Executive Airport – Miami, Florida
KTME – Houston Executive Airport – Waller County, Texas
KTMK – Tillamook Airport – Tillamook, Oregon
KTNP – Twentynine Palms Airport – Twentynine Palms, California
KTNT – Dade-Collier Training and Transition Airport – Miami, Florida
KTNU – Newton Municipal Airport – Newton, Iowa
KTNX – Tonopah Test Range Airport – Tonopah, Nevada
KTOA – Zamperini Airport – Torrance, California
KTOI – Troy Municipal Airport – Troy, Alabama
KTOL – Toledo Express Airport – Toledo, Ohio
KTOP – Billard Municipal Airport – Topeka, Kansas
KTOR – Torrington Municipal Airport – Torrington, Wyoming
KTPA – Tampa International Airport – Tampa, Florida
KTPF – Peter O. Knight Airport – Davis Island, Tampa, Florida
KTPH – Tonopah Airport – Tonopah, Nevada
KTPL – Draughon-Miller Central Texas Regional Airport – Temple, Texas
KTQE – Tekamah Airport – Tekamah, Nebraska
KTQH – Tahlequah Municipal Airport – Tahlequah, Oklahoma
KTQK – Scott City Municipal Airport – Scott City, Nebraska
KTRI – Tri-Cities Regional Airport – Blountville, Tennessee
KTRK – Truckee-Tahoe Airport – Truckee, California
KTRM – Desert Resorts Regional Airport – Palm Springs, California
KTRX – Trenton Municipal Airport – Trenton, Missouri
KTSP – Tehachapi Municipal Airport – Tehachapi, California
KTTA – Sanford-Lee County Regional Airport – Sanford, North Carolina
KTTD – Troutdale Airport – Portland, Oregon
KTTF – Custer Airport – Monroe, Michigan
KTTN – Trenton-Mercer Airport – Trenton, New Jersey
KTUL  – Tulsa International Airport – Tulsa, Oklahoma
KTUP – Tupelo Regional Airport – Tupelo, Mississippi
KTUS – Tucson International Airport – Tucson, Arizona
KTVC – Cherry Capital Airport – Traverse City, Michigan
KTVL – Lake Tahoe Airport – South Lake Tahoe, California
KTVR – Vicksburg – Tallulah Regional Airport – Tallulah, Louisiana
KTVY – Bolinder Field-Tooele Valley Airport – Tooele, Utah
KTWF – Joslin Field – Magic Valley Regional Airport – Twin Falls, Idaho
KTWT – Sturgis Municipal Airport – Sturgis, Kentucky
KTXK – Texarkana Regional Airport-Webb Field – Texarkana, Arkansas
KTYL – Taylor Airport – Taylor, Arizona
KTYQ – Indianapolis Executive Airport – Indianapolis, Indiana
KTYR – Tyler Pounds Regional Airport – Tyler, Texas
KTYS – McGhee Tyson Airport – Knoxville, Tennessee
KTZR – Bolton Field – Columbus, Ohio
KTZT – Belle Plaine Municipal Airport – Belle Plaine, Iowa
KUAO – Aurora State Airport – Aurora, Oregon
KUBE – Cumberland Municipal Airport – Cumberland, Wisconsin
KUBS – Columbus-Lowndes County Airport – Columbus, Mississippi
KUCA – Oneida County Airport – Utica, New York
KUCP – New Castle Municipal Airport – New Castle, Pennsylvania
KUDD – Bermuda Dunes Airport – Palm Springs, California
KUDG – Darlington County Jetport – Darlington, South Carolina
KUES – Waukesha County Airport (Crites Field) – Waukesha, Wisconsin
KUGN – Waukegan Regional Airport – Waukegan, Illinois
KUIL – Quillayute Airport – Quillayute, Washington
KUIN – Quincy Regional Airport – Quincy, Illinois
KUKF – Wilkes County Airport – North Wilkesboro, North Carolina
KUKI – Ukiah Municipal Airport – Ukiah, California
KUKL – Coffey County Airport – Burlington, Kansas
KUKT – Quakertown Airport – Quakertown, Pennsylvania
KULS – Ulysses Airport – Ulysses, Kansas
KUMP – Indianapolis Metropolitan Airport – Fishers, Indiana
KUNI – Gordon K. Bush Airport – Athens / Albany, Ohio
KUNU – Dodge County Airport – Juneau, Wisconsin
KUNV – University Park Airport – University Park, Pennsylvania
KUOS – Franklin County Airport – Sewanee, Tennessee
KUOX – University-Oxford Airport – Oxford, Mississippi
KUTS – Huntsville Municipal Airport – Huntsville, Texas
KUUU – Newport State Airport – Newport, Rhode Island
KUVA – Garner Field – Uvalde, Texas
KUZA – Rock Hill/York County Airport (Bryant Field) – Rock Hill, South Carolina
KVAY – South Jersey Regional Airport – Mount Holly, New Jersey
KVBG – Vandenberg Air Force Base – Lompoc, California
KVBT – Bentonville Municipal Airport – Bentonville, Arkansas
KVBW – Bridgewater Airport – Bridgewater, Virginia
KVCB – Nut Tree Airport – Vacaville, California
KVCT – Victoria Regional Airport – Victoria, Texas
KVCV – Southern California Logistics Airport – Victorville, California
KVDF – Tampa Executive Airport – Tampa, Florida
KVEL – Vernal-Uintah County Airport – Vernal, Utah
KVER – Jesse Viertel Memorial Airport – Boonville, Missouri
KVES – Darke County Airport – Versailles, Ohio
KVGT – North Las Vegas Airport – Las Vegas, Nevada
KVIH – Rolla National Airport – Rolla/Vichy, Missouri
KVIS – Visalia Municipal Airport – Visalia, California
KVJI – Virginia Highlands Airport – Abingdon, Virginia
KVKS – Vicksburg Municipal Airport – Vicksburg, Mississippi
KVKX – Potomac Airfield – Friendly, Maryland
KVLD – Valdosta Regional Airport – Valdosta, Georgia
KVLL – Oakland-Troy Airport – Troy, Michigan
KVMR – Davidson Airport – Vermillion, South Dakota
KVNC – Venice Municipal Airport – Venice, Florida
KVNY – Van Nuys Airport – Van Nuys, California
KVPS – Northwest Florida Regional Airport – Valparaiso, Florida
KVPZ – Porter County Regional Airport – Valparaiso, Indiana
KVQQ – Cecil Field – Jacksonville, Florida
KVRB – Vero Beach Municipal Airport – Vero Beach, Florida
KVSF – Hartness State Airport – Springfield, Vermont
KVTA – Newark-Heath Airport – Newark, Ohio
KVTN – Miller Field – Valentine, Nebraska
KVUJ – Stanly County Airport – Albemarle, North Carolina
KVUO – Pearson Field – Vancouver, Washington
KVVS – Joseph A. Hardy Connellsville Airport – Connellsville, Pennsylvania
KVYS – Illinois Valley Regional Airport (Walter A. Duncan Field) – Peru, Illinois
KWAL – Wallops Flight Facility – Wallops Island, Virginia
KWAY – Greene County Airport – Waynesburg, Pennsylvania
KWBW – Wilkes-Barre Wyoming Valley Airport – Wilkes-Barre, Pennsylvania
KWDG – Woodring Airport – Enid, Oklahoma
KWHP – Whiteman Airport – Los Angeles, California
KWJF – General William J. Fox Airfield – Lancaster, California
KWLD – Strother Field – Winfield, Kansas
KWLW – Willows-Glenn County Airport – Willows, California
KWMC – Winnemucca Municipal Airport – Winnemucca, Nevada
KWRB – Robins Air Force Base – Warner Robins, Georgia
KWRI – McGuire Air Force Base – Wrightstown, New Jersey
KWRL – Worland Municipal Airport – Worland, Wyoming
KWST – Westerly State Airport – Westerly, Rhode Island
KWVI – Watsonville Municipal Airport – Watsonville, California
KWVL – Waterville Robert LaFleur Airport – Waterville, Maine
KWWD – Cape May Airport – Wildwood, New Jersey
KWWR – West Woodward Airport – Woodward, Oklahoma
KWYS – Yellowstone Airport – West Yellowstone, Montana
KXBP – Bridgeport Municipal Airport – Bridgeport, Texas
KXFL – Flagler County Airport – Bunnell, Florida
KXMR – Cape Canaveral Air Force Station Skid Strip – Cocoa Beach, Florida
KXNA – Northwest Arkansas Regional Airport – Fayetteville / Springdale, Arkansas
KXNO – North Air Force Auxiliary Field – North, South Carolina
KXTA – Nellis Bombing Range Test Site (Area 51) – Groom Lake, Nevada
KXVG – Longville Municipal Airport – Longville, Minnesota
KYIP – Willow Run Airport – Detroit, Michigan
KYKM – Yakima Air Terminal (McAllister Field) – Yakima, Washington
KYKN – Chan Gurney Municipal Airport – Yankton, South Dakota
KYNG – Youngstown-Warren Regional Airport – Youngstown / Warren, Ohio
KZEF – Elkin Municipal Airport – Elkin, North Carolina
KZER – Schuylkill County Airport (Joe Zerbey Field) – Pottsville, Pennsylvania
KZPH – Zephyrhills Municipal Airport – Zephyrhills, Florida
KZUN – Black Rock Airport – Zuni Pueblo, New Mexico
KZZV – Zanesville Municipal Airport – Zanesville, Ohio
